Person,Partei,"Region (BVV, WK2, WK4, WK5)",Fragenummer,"Zustimmungsaussage (ja = zustimmung, nein = nicht Zustimmung, 0 = neutral)",Begründung
Peter Beckers,SPD,BVV,32,ja,"Die Berliner SPD hat das Zweckentfremdungsverbotsgesetz durchgesetzt. Leerstand und Zweckentfremdung von Wohnraum bedarf einer Genehmigung. Wer als Eigentümer Leerstand und Zweckentfremdung ohne Genehmigung vornimmt, wird mit hohen Geldstrafen zur Verantwortung gezogen. Für eine Beschlagnahme von leerstehendem Wohnraum gibt es enge gesetzliche Grenzen. Wo diese es zulassen, kann diese Forderung erfüllt werden."
Peter Beckers,SPD,BVV,33,neutral,"Dafür gibt es keine gesetzliche Grundlage. Für größere Vorhaben und dort, wo Bebauungspläne als Grundlage für neue Vorhaben erarbeitet werden, passiert dies bereits."
Peter Beckers,SPD,BVV,34,ja,Das tut der Senat und ist stets Aufgabe und Selbstverständnis der Sozialdemokratie gewesen. Nur die SPD ist Garant für eine solche soziale Stadtentwicklungspolitik.
Peter Beckers,SPD,BVV,35,neutral,"Das Problem ist doch eher, dass in der Vergangenheit Grundstücke stets nach dem Höchstpreisverfahren verkauft wurden. Unter Compliance-Gesichtspunkten ein einwandfreies Verfahren. Wir setzen uns dafür ein, dass im Rahmen der neuen Liegenschaftspolitik keine landeseigenen Liegenschaften mehr veräußert werden."
Peter Beckers,SPD,BVV,36,ja,"Wir setzten uns dafür ein, dass die Nutzer des sogenannten soziokulturellen Ls dort verbleiben können und möglichst Erbauurechte eingeräumt werden."
Peter Beckers,SPD,BVV,37,ja,"Ja, unbedingt. Daher wurden Fahrradabstellplätze geschaffen, Straßen umgebaut und Fahrradwege gekennzeichnet. Das Ordnungsamt hat Schwerpunktbereiche zur Kontrolle gegen das wiederkehrende Zuparken durch Autos gebildet und vieles mehr. Ich setze mich dafür ein, dass das Ordnungsamt sein Personal aufstockt und es besonders zum Freihalten von Fahrradwegen nutzt."
Peter Beckers,SPD,BVV,38,ja,"Ja, das finde ich gut und halte es für dringend notwendig."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 100,WK2,39,ja,Siehe Antwort zu Frage 5.
Marianne Burkert-Eulitz,Die Grünen / Bündnis 101,WK2,40,neutral,"Wir brauchen einen Dialog zwischen allen Betroffenen um Lösungen zu erarbeiten, die auch in der Realität Wirkung zeigen und zur Befriedigung der Situation beitragen können. Natürlich wird es nicht immer gelingen zufriedenstellende Kompromisse zu finden - ich bin fest überzeugt, dass ein Miteinander aller betroffenen Akteure der bessere Ansatz ist. Daher sollte man den angefangenen Ansatz zunächst weiterverfolgen und versuchen mit diesem handfeste Lösungen zu erarbeiten. Es gehört auch dazu, den Prozess selbst zu evaluieren und bestehende Konflikte bei Notwendigkeit zu korrigieren."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 102,WK2,41,neutral,"Wir wollen, dass die berühmte ""Berliner Mischung"" aus Wohnen, Arbeiten, Kiezleben und Weltstadtflair erhalten bleibt. Die Politik kann hier die Rahmenbedingungen schaffen, dass unser Bezirk genau dafür attraktiv bleibt."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 103,WK2,42,ja,"Wir Grüne wollen auf Landesebene ein Transparenz- und Informationsfreiheitsgesetz, dass ergänzend zu dem Akteneinsichtsrecht, Bürger*innen in die Lage versetzt, sich aktiv einzumischen, Entscheidungen nachzuvollziehen und mit den Behörden auf Augenhöhe zu kommunizieren."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 104,WK2,43,neutral,"Die Aktivität von Vereinen und Initiativen in den Kiezen ist für unseren Bezirk wertvoll und macht ihn aktiv, bunt und lebendig. Das soll auch in Zukunft so bleiben und ermöglicht werden. Ich als Abgeordnete stehe für den regen Austausch und die Anliegen der Akteure stets bereit und setze mich auch für deren Interessen gegenüber dem Bezirksamt ein."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 105,WK2,44,neutral,"Siehe Antworten zu Fragen 14, 17, 18."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 106,WK2,45,ja,"Wir wollen keinen Ausbau der A 100 - die in Friedrichshain mitten durch ein Wohngebiet gelegt werden soll. Statt Prestigeprojekten und Milliarden für den Autobahnbau brauchen wir neue Mobilitätskonzepte und die Stärkung von ÖPNV, Rad- und Fußverkehr."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 107,WK2,46,ja,"Wenn Anhänger auf Parkplätzen kommerzielle Werbeplattformen darstellen, so nehmen Sie oft benötigten Raum in Anspruch. Für die Fälle, in denen dafür eine Sondernutzungserlaubnis gebraucht wird, haben die Behörden einen Interessensausgleich zwischen allen Straßennutzer*innen zu berücksichtigen."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 108,WK2,47,ja,"Knapp 300 Millionen Euro brauchen wir für Neubau und Sanierungsbedarf an Schulen im Bezirk, denn steigende Kinderzahlen bedeuten auch steigenden Platzbedarf. Hier sind die Bezirke auf das Land angewiesen, das hier viel zu lange geschlafen hat. Genügend Mittel ab der nächsten Legislatur bereitzustellen ist für mich unverhandelbar."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 109,WK2,48,nein,"Schulkinder brauchen eine gute Atmosphäre zum Lernen und Leben. Das gilt auch für die Schulen im Bezirk. Da sich auch die Gestaltung der Umgebung und der pädagogischen Räumlichkeiten und Ausstattung bestimmend auf die Entwicklung und Lernqualität von Schulkindern auswirken, lehne ich Modularbauten im Grundsatz ab. Wo Modularbauten zum Einsatz kommen, dürfen sie nur vorübergehende Lösungen sein. Auch wenn es bei uns im Bezirk schwer ist, müssen Erweiterungen und Neubauten Rücksicht auf Platz für Schulhöfe, Sport, Mensen und Horte geplant werden."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 110,WK2,49,neutral,"Verdrängung, wie sie leider auch in den letzten Jahren in Friedrichshain-Kreuzberg zu sehen ist, darf nicht auf Kosten von natürlich gewachsenen Strukturen stattfinden. Vor allem soziale Einrichtungen sind wichtig für ein funktionierendes Kiezleben und müssen erhalten werden. Das heißt auch, dass bei einer wachsenden Stadt soziale und gesellschaftliche Angebote, Einrichtungen und Angebote mitwachsen müssen."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 111,WK2,50,ja,"Öffentlicher Raum ist für Alle da, unabhängig ihrer finanziellen Möglichkeiten. Die Nutzung und ggf. Nutzungserlaubnis von Plätzen für öffentliche Veranstaltungen soll nicht anhand finanzieller Kritierien vergeben werden."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 112,WK2,51,neutral,Zum Schulneubau siehe Frage 22.
Marianne Burkert-Eulitz,Die Grünen / Bündnis 113,WK2,52,ja,"Innensenator Henkel trägt die Verantwortung für die Situation an der Rigaer Straße. Im ""Gefahrengebiet"" versucht er mit seiner ""Law-and-Order""-Politik Wahlkampf - auf Kosten der Menschen vor Ort zu machen. Wenn wir keine rechtsfreien Räume wollen, dann muss zunächst das""Gefahrengebiet"" wieder als natürliches Gebiet in unserem Kiez akzeptiert werden."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 114,WK2,53,ja,"Die Nutzung der Rigaer94 unterliegt den Regeln und Gesetzen, die überall in Berlin gelten. Die rechtswidrige Räumung war eine schwere Verfehlung und ist - aus welchen Gründen auch immer - auch im Nachhinein nicht zu rechtfertigen. Sie ist aufzuarbeiten und die dabei gemachten politischen Fehler müssen vom Innensenator eingestanden werden."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 115,WK2,54,ja,s. Frage 28.
Marianne Burkert-Eulitz,Die Grünen / Bündnis 116,WK2,55,ja,Ein Rechtsstaat muss das Recht auf die freie Entfaltung der Persönlichkeit und die allgemeine Handlungsfreiheit Aller respektieren. Willkürliche und aufgrund von persönlicher Antipathie getriebene politische Aktionen sind unangebracht und ein enttäuschendes Signal von der Politik
Marianne Burkert-Eulitz,Die Grünen / Bündnis 117,WK2,56,ja,"In Berlin leben viele Menschen auf der Straße oder sind von Obdachlosigkeit bedroht. Sie brauchen Anlaufstellen bei denen Ihnen bei Bedarf Hilfe angeboten werden kann, die über eine warme Mahlzeit und einen Schlafplatz hinausgeht. Die Grundversorgung muss dabei unverhandelbar gesichert werden. Besonders in den Wintermonaten brauchen wir ausreichend und gut ausgestattete Unterkünfte und müssen dafür die Kältehilfe stärken. Vor allem müssen wir handeln, wenn Familien von Obdachlosigkeit bedroht sind. Eltern mit Kindern auf der Straße sind ein Armutszeugnis für Berlin. Zwangsräumungen müssen im Ernstfall ausgesetzt werden können."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 118,WK2,57,ja,Siehe Frage 30.
Marianne Burkert-Eulitz,Die Grünen / Bündnis 119,WK2,58,ja,"Wohnraum und vor allem bezahlbarer Wohnraum sind kein Luxus sondern ein Grundbedürfnis. Wir haben Luxussanierungen und teurer Privatisierung den Kampf angesagt. In Milieuschutzgebieten untersagt der Bezirk die Umwandlung von Mietwohnungen in Eigentumswohnungen. Wir kämpfen hier für schärfere Regelungen, um konsequent gegen Verdrängung und Immobilienspekulationen anzugehen. Wor wir auf Bezirks- und Landesebene nicht weiterkommen, müssen wir auf Bundesebene, insbesondere beim Mietrecht, Druck machen."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 120,WK2,59,ja,Siehe Frage 32.
Marianne Burkert-Eulitz,Die Grünen / Bündnis 121,WK2,60,ja,Leerstand vermeiden! Vor allem das Entziehen von Wohnraum rein aus spekulativen Gründen ist unverantwortlich. Wir wollen vorhandene Räume optimal nutzen - davon profitieren alle Beteiligten. Insbesondere öffentliche Einrichtungen haben hier eine Vorbildfunktion.
Marianne Burkert-Eulitz,Die Grünen / Bündnis 122,WK2,61,ja,"Wenn städtebauliche Verträge oder Vereinbarungen mit Investoren geschlossen werden, dann müssen die Interessen der Allgemeinheit berücksichtigt werden. Einseitige Profite darf es nicht geben. Investitionen bedeutet auch: Schaffung von sozialem Wohnraum, sozialer Einrichtungen und einem lebenswerter Kiez."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 123,WK2,62,ja,"Wir brauchen die Stärkung von Milieuschutz- und Erhaltungsgebieten, wie wir sie an mehreren Stellen in Friedrichshain-Kreuzberg schon geschaffen haben. Darüber hinaus brauchen wir endlich eine wirkungsvolle Mietpreisbremse und eine Einschränkung von Ausnahmen, die Verdrängung und Wuchermieten immer noch möglich machen."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 124,WK2,63,ja,Siehe Frage 35.
Marianne Burkert-Eulitz,Die Grünen / Bündnis 125,WK2,64,ja,"Das RAW-Gelände ist ein Anlaufpunkt für viele Künstler, Engagierte, Vereine und Kinder aus dem Kiez. An der Seite der vielen Kultuschaffenden kämpfen wir für eine positive Perspektive, z.B. durch lange Mietverträge. Wir unterstützen ebenfalls den Erhalt des sogenannten ""Soziokulturellen L""s auf dem RAW."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 126,WK2,65,ja,"Unser Bezirk ist Fahrradspitzenreiter - und das nicht wegen der rot-schwarzen, sondern trotz der rot-schwarzen Verkehtspolitik. Berlin muss fahrradfreundlicher werden. Andere Metropolen, wie London oder Kopenhagen machen es vor. Ich unterstütze den Fahrrad-Volksentscheid und kämpfe mit der Abgeordnetenhauswahl auch für eine Verkehrswende."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 127,WK2,66,ja,"Politik vor Ort heißt: Politik für die Bezirke. Die Realität in Berlin ist aber: zu wenig Personal, begrenzter Raum, zu wenig Geld oder fehlende Zuständigkeit. Ich möchte starke und politische Bezirke mit genügend Geld und Kompetenzen und auch Behörden, die statt sich mit Zuständigkeitsfragen zu beschäftigen, die Herausforderungen dieser statt meistern können."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 90,WK2,1,ja,"Wir brauchen einen kiezverträglichen Tourismus, der die Bedürfnisse der Anwohner*innen ernst nimmt statt dem Streben nach immer neuen Besucher*innenrekordzahlen."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 91,WK2,2,ja,Ja! Innensenator Henkel hat die Probleme vor Ort zu lange ignoriert und trotz steigender Kriminalität bei der Polizei an Personal eingespart. Vor allem an den Wochenenden - wo deutliche Anstiege an Delikten zu erkennen sind - brauchen wir eine dauerhafte Präsenz statt Einzelmaßnahmen.
Marianne Burkert-Eulitz,Die Grünen / Bündnis 92,WK2,3,ja,"Integration ist kein einseitiger Prozess. Viele Menschen geraten in die Kriminalität, weil es für sie den letzten Ausweg darstellt. Wir müssen die Probleme übergreifend angehen über Integration, Sozialarbeit, Zugang zum Arbeitsmarkt etc."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 93,WK2,4,neutral,"Wie bereits in Frage 3 angeführt, gibt es dafür nicht die eine Maßnahme. Zu unserem Sicherheitskonzept gehört auch der Einsatz von Streetworker*innen. Dieser ist ein Baustein, um die Situation vor Ort zu verbessern."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 94,WK2,5,neutral,"Die Müllproblematik, maßgeblich mitbestimmt durch viele Tourist*innen, ist ein Problem. Der Bezirk hat sich erfolgreich dafür eingesetzt, dass wir größere Mülleimer bekommen und eine häufigere Reinigung erfolgt. Die City-Tax soll gezielt dafür eingesetzt werden, dass mehr Geld (auch für Ausgleichsmaßnahmen) in die stark von Tourismus betroffenen Kieze fließt."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 95,WK2,6,ja,"Berlin ist attraktiv, weltoffen und eine spannende Stadt in der es viel zu erleben gibt. Das ist aber kein Freifahrtschein. Respekt und Rücksicht untereinander ist eine wichtige Grundlage für einen kiezverträglichen Tourismus."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 96,WK2,7,ja,Selbsterklärend.
Marianne Burkert-Eulitz,Die Grünen / Bündnis 97,WK2,8,ja,Ferienwohnungen tragen zur Zweckentfremdung von Wohnraum bei. Bereits vor Erlass des Zweckentfremdungsverbotsgesetzes für Berlin haben Grüne Ferienwohnung in Milieuschutzgebieten verhindert. Auch weiterhin gilt: Wohnraum soll Wohnraum sein. Deshalb wollen wir auch die Ausnahmen bei Ferienwohnungen eng beschränken.
Marianne Burkert-Eulitz,Die Grünen / Bündnis 98,WK2,9,neutral,"Für die Nutzung von öffentlichem Straßenland bedarf es Sondergenehmigungen. Diese dürfen nur erteilt werden, wenn der ungehinderte Fuß- (und Rad-)Verkehr nicht beeinträchtigt wird. Verstöße müssen entsprechend geahndet werden - auch wenn die Sondernutzungserlaubnis beispielsweise in die Nachtstunden überzogen wird und dadurch Lärm entsteht."
Marianne Burkert-Eulitz,Die Grünen / Bündnis 99,WK2,10,ja,Insbesondere im Gastronomie- und Clubbereich kommt es leider immer wieder - auch augrund des Konkurrenzdrucks untereinander - zu Verstößen. Neben klarer Kommunikation der Regeln muss das Ordnungsamt auch personell in der Lage sein - auch nach 22 Uhr und am Wochenende und an Feiertagen - Kontrollen durchzuführen.
Steffen Zillich,die Linke,WK4,1,ja,"Wir treten dafür ein, die massive Anhäufung von Gastronomie in bestimmten Gebieten wie z.B. am Boxhagener Platz zu verhindern bzw. zu verringern. Zudem fordern wir für hochbelastete Wohngebiete Lärmschutz- und Verkehrsmessungen ein und wo notwendig konsequente Maßnahmen zum Schutz der Anwohner/innen."
Steffen Zillich,die Linke,WK4,2,ja,"DIE LINKE will, dass die Bewohnerinnen und Bewohner, aber auch Touristinnen und Touristen in unserem Bezirk ohne Angst vor Kriminalität leben können. Die Erfahrung zeigt: Nur durch polizeiliche Repression lassen sich die Probleme nicht lösen. Nichtsdestotrotz ist an Hotspots wie der Revaler Straße/Warschauer Straße zumindest temporär mehr Polizei unvermeidbar. Die Sicherheitslage lässt sich allerdings nur durch ein zwischen Bezirk und Polizei abgestimmtes Gesamtkonzept verbessern. Ob dazu auch eine mobile Wache gehört, ist bei der Erarbeitung eines solchen Konzeptes zu klären. Eine Ausweitung der Videoüberwachung lehnt DIE LINKE ab. Sie gaukelt ein Sicherheitsgefühl vor, ohne eine einzige Straftat verhindern zu können, die alltägliche Überwachung hingegen trifft uns alle. 
 Zudem reicht die Forderung nach mehr Polizei im öffentlichen Raum alleine nicht aus. Wer Kriminalität wirksam vorbeugen und die Sicherheit für Bürgerinnen und Bürger verbessern will, muss auf die Stärkung des sozialen Zusammenhalts setzen. Außerdem wollen wir so genannte „Angsträume“ – also unbelebte Straßen oder dunkle Parks – reduzieren. Wo sinnvoll soll zudem eine verstärkte und verstetigte Straßensozialarbeit etabliert werden, die auch vorbeugend gegen Straftaten wirken kann."
Steffen Zillich,die Linke,WK4,3,ja,"Angebote und Anlaufstellen fördern, Menschen, die einen Ausweg aus Drogenkriminalität und -abhängigkeit suchen dabei unterstützen, praktische Hilfe wie Sprachkurse, Vermittlung von Wohnungen, Beschäftigung oder medizinische Versorgung bieten."
Steffen Zillich,die Linke,WK4,4,ja,"Angebote und Anlaufstellen fördern, Menschen, die einen Ausweg aus Drogenkriminalität und -abhängigkeit suchen dabei unterstützen, praktische Hilfe wie Sprachkurse, Vermittlung von Wohnungen, Beschäftigung oder medizinische Versorgung bieten."
Steffen Zillich,die Linke,WK4,5,ja,"DIE LINKE setzt sich für eine Kompensation der Kosten durch das Land ein, die den von Tourismus am meisten belasteten Bezirke durch die erweiterte Stadtreinigung und anderenorts zusätzlich entstehen. Die Einnahmen aus der City-Tax den Bezirken zukommen zu lassen, kann dazu ein geeignetes Instrument sein."
Steffen Zillich,die Linke,WK4,6,ja,Das Bezirksamt hat diesbezüglich schon erste Versuche unternommen. Diese müssen ausgewertet und weiterentwickelt werden.
Steffen Zillich,die Linke,WK4,7,ja,"Wir treten dafür ein, die massive Anhäufung von Gastronomie in bestimmten Gebieten wie zum Beispiel am Boxhagener Platz zu verhindern bzw. zu verringern. Zudem fordern wir für hochbelastete Wohngebiete Lärmschutz- und Verkehrsmessungen ein und wo notwendig konsequente Maßnahmen zum Schutz der Anwohnerinnen und Anwohner"
Steffen Zillich,die Linke,WK4,8,ja,"Oberstes Gebot ist es, Zweckentfremdung von Wohnraum durch Ferienwohnungen konsequent zu verhindern"
Steffen Zillich,die Linke,WK4,9,ja,"Wir treten dafür ein, die massive Anhäufung von Gastronomie in bestimmten Gebieten wie zum Beispiel am Boxhagener Platz zu verhindern bzw. zu verringern."
Steffen Zillich,die Linke,WK4,10,ja,Wir setzen uns für starke und vor allem handlungsfähige Bezirke ein. Der Stellenabbau der letzten Jahre hat die Bezirksverwaltungen überfordert. Mehr Personal ist in vielen Bereichen unabdingbar. Das gilt auch für den Allgemeinen Ordnungsdienst.
Steffen Zillich,die Linke,WK4,11,ja,"DIE LINKE setzt sich für mehr Müllkörbe und deren häufigere Leerung in Gebieten ein, in denen sich besonders viele Menschen täglich aufhalten und Abfall produzieren. Darüber hinaus wollen wir, dass Straßen und öffentliche Plätze öfter gereinigt werden und Grünflächen als Erholungsflächen genutzt werden können. Ein Gegeneinander der unterschiedlichen Nutzungsformen darf es nicht geben. Vielmehr sollte es abgegrenzte Flächen, zum Beispiel für Hunde und zum Grillen, geben. Die Grünflächen müssen regelmäßig gepflegt und gereinigt werden. Wir wollen dazu neue Kooperationen der Verwaltung mit der BSR und den Wirtschaftsunternehmen des Bezirks initiieren, damit die geringen öffentlichen Mittel sinnvoll eingesetzt werden und sich die ansässigen Unternehmen an den Kosten beteiligen. Die Reinigung mehrerer Parkanlagen durch die BSR ist ein Schritt in die richtige Richtung."
Steffen Zillich,die Linke,WK4,12,ja,Die Clubcommission ist Interessenvertreterin und kann keine neutrale Moderation garantieren.
Steffen Zillich,die Linke,WK4,13,ja,"DIE LINKE will keine reinen touristischen ""Mono-Kulturen"" in der Stadt. Wir setzen uns für eine diversifizierte Gewerbelandschaft ein."
Steffen Zillich,die Linke,WK4,14,ja,
Steffen Zillich,die Linke,WK4,15,ja,"DIE LINKE unterstützt den Vorschlag verschiedener Kiez-Initiativen zur Errichtung eines Beratungsbüros für Veranstaltungen im öffentlichen Raum, das Veranstalterinnen und Veranstalter nicht-kommerzieller Aktivitäten bei der Erstellung ihrer Anträge unterstützt und alle Informationen bündelt."
Steffen Zillich,die Linke,WK4,16,ja,Nicht-kommerzielle kiezbezogene Veranstaltungen sollten gegenüber kommerzeillen Events bevorzugt behandelt und genehmigt werden.
Steffen Zillich,die Linke,WK4,17,ja,"Wir haben bisher gegen den Ausbau der A100 bis zum Treptower Park gekämpft und wer den uns genauso gegen den nächsten Bauabschnitt über die Frankfurter Allee bis zur Storkower Straße, der aktuell von CDU und SPD auf Landesebene geplant und vorbereitet wird, einsetzen"
Steffen Zillich,die Linke,WK4,18,ja,"Die Zweckentfremdung von Parkflächen für ""Werbe-Anhänger"" sollte unterbunden werden. Die notwendigen rechtlichen Maßnahmen sind zu prüfen."
Steffen Zillich,die Linke,WK4,19,ja,"Wir wollen, dass es in allen Schulen ausreichend Mittel, Personal und Räume für ein ganztägiges Angebot wie auch für selbstorganisierte Initiativen und Arbeitsgemeinschaften gibt."
Steffen Zillich,die Linke,WK4,20,ja,"Kurzfristig sind Modularbauten zum Teil leider unvermeidbar, um die notwendigen Schulplätze zu schaffen. Unser Ziel ist jedoch eine langfristige Bildungsplanung sein, die den Bau der benötigten Schulen, die Ausbildung und Einstellung des benötigten Personals und die ausreichende finanziellen Ausstattung der Schulen umfasst."
Steffen Zillich,die Linke,WK4,21,ja,"Wo immer möglich, sollten Land und Bezirk alle Möglichkeiten nutzen, bestehende Jugend- und Bildungseinrichtungen vor Verdrängung durch kommerzielle Bauprojekte zu schützen"
Steffen Zillich,die Linke,WK4,22,nein,"Wir wehren uns gegen eine zunehmende Kommerzialisierung des öffentlichen Raumes und insbesondere von Grünflächen. Wir treten für eine Reduzierung der kommerziellen Nutzung öffentlicher Plätze ein. Das gilt insbesondere für rein kommerzielle Großprojekte, die zu Lasten der Lebensqualität der Anwohnerinnen und Anwohner gehen. Ein vollständiges Verbot der kommerziellen Nutzung öffentlicher Plätze, halten wir jedoch für nicht sinnvoll, insbesondere wenn es um Kleingewerbetreibende geht. Wir wollen eine Diskussion im Bezirk und seinen Kiezen führen, welches Maß der Nutzung vereinbar ist mit dem Anspruch, dass der öffentliche Raum allen gehört, die hier leben. Entsprechende Anträge auf Sondernutzung sind am Einzelfall zu prüfen und zu entscheiden."
Steffen Zillich,die Linke,WK4,23,ja,"Ungenutztes Bauland muss von der öffentlichen Hand erworben werden. Dann kann es - je nach Bedarf (Schulen, Wohnen etc.) - genutzt werden."
Steffen Zillich,die Linke,WK4,24,ja,"Was sonst?! Im Friedrichshainer Nordkiez müssen wir seit Monaten beobachten, dass die Bewohnerinnen und Bewohner durch anlasslose Personenkontrollen und Passierverbote schikaniert und in ihrem Lebensalltag stark
 werden eingeschränkt. Diese Belästigung der Anwohnerinnen und Anwohner und der Besucherinnen und muss umgehend ein Ende haben."
Steffen Zillich,die Linke,WK4,25,ja,"Wir setzen uns dafür ein, dass das Wohn- und Kulturprojekt Rigaer 94 erhalten bleibt."
Steffen Zillich,die Linke,WK4,26,ja,DIE LINKE verurteilt rechtswidrige Räumungen und ist sehr aktiv in der parlamentarischen Aufarbeitung solcher Vorgänge. Wir ermutigen betroffene auch zivilrechtlich dagegen vorzugehen.
Steffen Zillich,die Linke,WK4,27,ja,"Wir weisen die Versuche der Polizeiführung und des Innensenators, linke Kiez-Strukturen zu schikanieren zurück. Im Gegenteil: Alternative, linke Strukturen gilt es zu unterstützen und zu stärken. Selbstverwaltete Wohnprojekte sind Teil einer alternativen Stadtentwicklung, die wir weiter unterstützen und fördern wollen. Dazu gehören auch (ehemals) besetzte Häuser und Hausprojekte. Wir wenden uns gegen deren Kriminalisierung und wollen sie als widerständige Teile der Identität Friedrichshain-Kreuzbergs erhalten."
Steffen Zillich,die Linke,WK4,28,ja,"Wir wollen Angebote und Anlaufstellen fördern, die Menschen, die einen Ausweg aus Drogenkriminalität und -abhängigkeit suchen, praktische Hilfe bei der Vermittlung von Wohnungen, Beschäftigung oder medizinischer Versorgung bieten. Die Straßensozialarbeit ist auszubauen."
Steffen Zillich,die Linke,WK4,29,ja,"Auch wir wollen die grassierende Obdachlosigkeit und das zunehmend aggressive Betteln verringern. Doch die dem zugrunde liegenden soziale Probleme lassen sich in mit polizeilichen Mitteln lösen, sofern es nicht zu offensichtlichen Straftaten kommt. Wir wollen stattdessen vor allem Angebote und Anlaufstellen fördern, die Menschen, die in Not sind, praktische Hilfe bei der Vermittlung von Wohnungen, Beschäftigung oder medizinischer Versorgung bieten. Die Straßensozialarbeit ist auszubauen."
Steffen Zillich,die Linke,WK4,30,ja,"Hier kommt hinzu, dass auch die Umwandlung von bereits bestehenden Wohn- und Geschäftsräumen in für die meisten Menschen unbezahlbaren Luxuswohnungen verhindert werden muss."
Steffen Zillich,die Linke,WK4,31,ja,"Der Kampf gegen die Zerstörung bezahlbaren Wohnraums und die Verdängung der bsiherigen Bewohnerinnen und Bewohner unseres Bezirks hat für uns oberste Priorität. Auf Landes- und Bezirksebene sind alle vorhandenen Instrumente auszunutzen, um ein weiters Steigen der Mieten zu stoppen und neuen bezahlbaren Wohnraum zu schaffen. Wir wollen Zwangsumzüge verhindern. Durch angemessene Mietkostenübernahmeregelungen sollen auch Menschen, die auf Transferleistungen (Hartz IV, Sozialhilfe oder Grundsicherung im Alter) angewiesen sind, in ihrem bisherigen sozialen Umfeld wohnen bleiben können."
Steffen Zillich,die Linke,WK4,32,ja,Notfalls sollte das Bezirksamt alle rechtlichen Möglichkeiten ausschöpfen um der Zweckentfremdung durch Leerstand entgegenzuwirken.
Steffen Zillich,die Linke,WK4,33,ja,"Aufgrund der massiven baulichen Nachverdichtung im Bezirk müssen auch die Bauherren/Investoren in die Pflicht genommen werden, wenn es um die Schaffung drinngend benötigter sozialer Infrastruktur geht."
Steffen Zillich,die Linke,WK4,34,ja,"Wir halte es für eine zentrale Aufgabe für die Landes- wie die Bezirkspolitik, dafür zu sorgen dass die Verdrängung von Menschen mit geringem Einkommen an den Stadtrand gestoppt wird und sich auch Menschen mit einem kleinen Geldbeutel das Leben in der Innenstadt künftig noch leisten können."
Steffen Zillich,die Linke,WK4,35,ja,"Auch wenn der Begriff ""Compliance"" an dieser Stelle etwas missverständlich ist, so setzen wir uns in jedem Fall für konsequente Maßnahmen ein, um Korruption und Interessenkonflikte bei der Vergabe von Baurechten oder ähnlichen Vorgängen zu unterbinden. Zudem erwarten wir, dass Bauherren/Investoren wo immer möglich in die Pflicht genommen werden, wenn es um die Schaffung drinngend benötigter sozialer Infrastruktur geht."
Steffen Zillich,die Linke,WK4,36,ja,Wir möchten das RAW als Kulturstandort langfristig sichern. DIE LINKE setzt sich für die weitere Nutzung des RAW als Ort von Erholungs- und Freizeitangeboten für die Anwohnerinnen und Anwohner sowie als Ort für bezahlbare Produktionsräume für Künstlerinnen und Künstler ein.
Steffen Zillich,die Linke,WK4,37,ja,"DIE LINKE unterstützt den Ausbau des bezirklichen Fahrradroutensystems und dabei insbesondere neue Fahrradstreifen auf der Straße. Gerade entlang der Hauptverkehrsstraßen wie der Skalitzer Straße oder dem Tempelhofer Ufer muss es möglich sein, ungehindert und sicher mit dem Fahrrad unterwegs zu sein. Die Abstellmöglichkeiten für Fahrräder müssen nicht nur vor Bahnhöfen und Einkaufsbereichen, sondern auch in Wohngebieten ausgebaut werden."
Steffen Zillich,die Linke,WK4,38,ja,"DIE LINKE setzt sich für starke und leistungsfähige Bezirke ein. Das kann nur funktionieren, wenn die Aufgaben von Bezirken und Senatsverwaltung klar definiert und abgegrenzt sind. Ob dafür eine Verfassungsänderung notwenig ist, wird sich zeigen."
